Taxon_ID,MartDatasets,Scientific_name,OrgDb,Common_name,kegg
9305,sharrisii_gene_ensembl,Sarcophilus harrisii,,Tasmanian_devil,shr
55149,svulgaris_gene_ensembl,Sciurus vulgaris,,Eurasian_red_squirrel,svul
113540,sformosus_gene_ensembl,Scleropages formosus,,Asian_bonytongue,sfm
52904,smaximus_gene_ensembl,Scophthalmus maximus,,Turbot,smau
9135,scanaria_gene_ensembl,Serinus canaria,,Common_canary,scan
41447,sdumerili_gene_ensembl,Seriola dumerili,,Greater_amberjack,sdu
1841481,sldorsalis_gene_ensembl,Seriola lalandi dorsalis,,Yellowtail_amberjack,slal
75366,sgrahami_gene_ensembl,Sinocyclocheilus grahami,,Golden_line_barbel,sgh
42254,saraneus_gene_ensembl,Sorex araneus,,European_shrew,sara
8175,saurata_gene_ensembl,Sparus aurata,,Gilthead_seabream,
8508,spunctatus_gene_ensembl,Sphenodon punctatus,,Tuatara,
144197,spartitus_gene_ensembl,Stegastes partitus,,Bicolor_damselfish,
2489341,shabroptila_gene_ensembl,Strigops habroptila,,Kakapo,shab
441894,scaustralis_gene_ensembl,Struthio camelus australis,,African_ostrich,scam
9823,sscrofa_gene_ensembl,Sus scrofa,org.Ss.eg.db,Pig,ssc
59729,tguttata_gene_ensembl,Taeniopygia guttata,,Zebra_finch,tgu
2587831,trubripes_gene_ensembl,Terrapene carolina triunguis,,Three_toed_box_turtle,
99883,tnigroviridis_gene_ensembl,Tetraodon nigroviridis,,Spotted_green_pufferfish,tng
37347,tbelangeri_gene_ensembl,Tupaia belangeri,,Northern_tree_shrew,tup
9739,ttruncatus_gene_ensembl,Tursiops truncatus,,Bottlenosed_dolphin,
9999,uparryii_gene_ensembl,Urocitellus parryii,,Arctic_ground_squirrel,
9643,uamericanus_gene_ensembl,Ursus americanus,,American_black_bear,uar
29073,umaritimus_gene_ensembl,Ursus maritimus,,Polar_bear,umr
30538,vpacos_gene_ensembl,Vicugna pacos,,Alpaca,vpc
29139,vursinus_gene_ensembl,Vombatus ursinus,,Common_wombat,
9627,vvulpes_gene_ensembl,Vulpes vulpes,,Red_fox,vvp
8364,xtropicalis_gene_ensembl,Xenopus tropicalis,org.Xl.eg.db,Tropical_clawed_frog,xtr
8083,xmaculatus_gene_ensembl,Xiphophorus maculatus,,Southern_platyfish,xma
