Taxon_ID,MartDatasets,Scientific_name,OrgDb,Common_name,kegg,Reference_Taxon_ID,Reference_Scientific_name,Ensembl_name,Ensembl_division,Ensembl_release,Assembly,Genome_URL,GTF_URL,Pep_URL,Reference_status,MartDatasets_status
9940,oaries_gene_ensembl,Ovis aries,org.Oaries.eg.db,Sheep,oas,9940,Ovis aries,ovis_aries,EnsemblMain,116,ARS-UI_Ramb_v3.0,https://ftp.ensembl.org/pub/release-116/fasta/ovis_aries/dna/Ovis_aries.ARS-UI_Ramb_v3.0.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/ovis_aries/Ovis_aries.ARS-UI_Ramb_v3.0.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/ovis_aries/pep/Ovis_aries.ARS-UI_Ramb_v3.0.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
9597,ppaniscus_gene_ensembl,Pan paniscus,org.Ppaniscus.eg.db,Bonobo,pps,9597,Pan paniscus,pan_paniscus,EnsemblMain,116,panpan1.1,https://ftp.ensembl.org/pub/release-116/fasta/pan_paniscus/dna/Pan_paniscus.panpan1.1.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/pan_paniscus/Pan_paniscus.panpan1.1.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/pan_paniscus/pep/Pan_paniscus.panpan1.1.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
9598,ptroglodytes_gene_ensembl,Pan troglodytes,org.Ptroglodytes.eg.db,Chimpanzee,ptr,9598,Pan troglodytes,pan_troglodytes,EnsemblMain,116,Pan_tro_3.0,https://ftp.ensembl.org/pub/release-116/fasta/pan_troglodytes/dna/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/pan_troglodytes/Pan_troglodytes.Pan_tro_3.0.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/pan_troglodytes/pep/Pan_troglodytes.Pan_tro_3.0.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
9689,pleo_gene_ensembl,Panthera leo,org.Pleo.eg.db,Lion,plez,9689,Panthera leo,panthera_leo,EnsemblMain,116,PanLeo1.0,https://ftp.ensembl.org/pub/release-116/fasta/panthera_leo/dna/Panthera_leo.PanLeo1.0.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/panthera_leo/Panthera_leo.PanLeo1.0.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/panthera_leo/pep/Panthera_leo.PanLeo1.0.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
9691,ppardus_gene_ensembl,Panthera pardus,org.Ppardus.eg.db,Leopard,ppad,9691,Panthera pardus,panthera_pardus,EnsemblMain,116,PanPar1.0,https://ftp.ensembl.org/pub/release-116/fasta/panthera_pardus/dna/Panthera_pardus.PanPar1.0.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/panthera_pardus/Panthera_pardus.PanPar1.0.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/panthera_pardus/pep/Panthera_pardus.PanPar1.0.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
74533,ptaltaica_gene_ensembl,Panthera tigris altaica,org.PtigrisAltaica.eg.db,Tiger,ptg,74533,Panthera tigris altaica,panthera_tigris_altaica,EnsemblMain,116,PanTig1.0,https://ftp.ensembl.org/pub/release-116/fasta/panthera_tigris_altaica/dna/Panthera_tigris_altaica.PanTig1.0.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/panthera_tigris_altaica/Panthera_tigris_altaica.PanTig1.0.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/panthera_tigris_altaica/pep/Panthera_tigris_altaica.PanTig1.0.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
9555,panubis_gene_ensembl,Papio anubis,org.Panubis.eg.db,Olive_baboon,panu,9555,Papio anubis,papio_anubis,EnsemblMain,116,Panubis1.0,https://ftp.ensembl.org/pub/release-116/fasta/papio_anubis/dna/Papio_anubis.Panubis1.0.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/papio_anubis/Papio_anubis.Panubis1.0.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/papio_anubis/pep/Papio_anubis.Panubis1.0.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
1676925,pkingsleyae_gene_ensembl,Paramormyrops kingsleyae,org.Pkingsleyae.eg.db,Paramormyrops_kingsleyae,pki,1676925,Paramormyrops kingsleyae,paramormyrops_kingsleyae,EnsemblMain,116,PKINGS_0.1,https://ftp.ensembl.org/pub/release-116/fasta/paramormyrops_kingsleyae/dna/Paramormyrops_kingsleyae.PKINGS_0.1.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/paramormyrops_kingsleyae/Paramormyrops_kingsleyae.PKINGS_0.1.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/paramormyrops_kingsleyae/pep/Paramormyrops_kingsleyae.PKINGS_0.1.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
9157,pmajor_gene_ensembl,Parus major,org.Pmajor.eg.db,Great_Tit,pmaj,9157,Parus major,parus_major,EnsemblMain,116,Parus_major1.1,https://ftp.ensembl.org/pub/release-116/fasta/parus_major/dna/Parus_major.Parus_major1.1.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/parus_major/Parus_major.Parus_major1.1.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/parus_major/pep/Parus_major.Parus_major1.1.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
13735,psinensis_gene_ensembl,Pelodiscus sinensis,org.Psinensis.eg.db,Chinese_softshell_turtle,pss,13735,Pelodiscus sinensis,pelodiscus_sinensis,EnsemblMain,116,PelSin_1.0,https://ftp.ensembl.org/pub/release-116/fasta/pelodiscus_sinensis/dna/Pelodiscus_sinensis.PelSin_1.0.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/pelodiscus_sinensis/Pelodiscus_sinensis.PelSin_1.0.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/pelodiscus_sinensis/pep/Pelodiscus_sinensis.PelSin_1.0.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
