"","MOR01_LIVER_RAW","MOR02_LIVER_RAW","MOR03_LIVER_RAW","MOR04_LIVER_RAW","MOR13_LIVER_RAW","MOR14_LIVER_RAW","MOR01_TEL_RAW","MOR02_TEL_RAW","MOR03_TEL_RAW","MOR04_TEL_RAW","MOR13_TEL_RAW","MOR14_TEL_RAW"
"Thermothelomyces thermophilus",-4.74853319525648,-4.74853319525648,8.0582828686467,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,2.9632908775004,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Botrytis cinerea",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.81837218276069,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Yamadazyma tenuis",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,6.42416097190428,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Schizosaccharomyces osmophilus",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.2769651287648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Malassezia japonica",-4.74853319525648,-4.74853319525648,5.76380685608187,7.48228515284891,-4.74853319525648,-4.74853319525648,-4.74853319525648,7.94023857427926,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Malassezia restricta",-4.74853319525648,-4.74853319525648,9.21267301415426,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,6.74676599242702,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Malassezia vespertilionis",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.50442506513625,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Sporisorium graminicola",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,6.83514327998045,7.20193084071314,-4.74853319525648,5.60377968752986,-4.74853319525648,-4.74853319525648,6.04366076773393,5.10575599782461
"Mycosarcoma maydis",-4.74853319525648,-4.74853319525648,4.79740217205522,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,3.54367663783063,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Rhizoctonia solani",-4.74853319525648,-4.74853319525648,4.18278455651369,5.01108417422889,-4.74853319525648,-4.74853319525648,-4.74853319525648,5.13388333760088,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Psilocybe cubensis",-4.74853319525648,-4.74853319525648,-4.74853319525648,5.64732593121872,-4.74853319525648,-4.74853319525648,-4.74853319525648,3.82216403531223,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Puccinia striiformis",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,7.18792608767807,6.24770249829517,-4.74853319525648,4.60598270833855,-4.74853319525648,-4.74853319525648,6.47119663281583,5.33541657703571
"Puccinia triticina",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,1.75899157904696,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Tardibacter chloracetimidivorans",-4.74853319525648,-4.74853319525648,10.8957427755891,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,8.29982755780968,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Rhodopseudomonas boonkerdii",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,7.11158305513658,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Glycocaulis alkaliphilus",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.81837218276069,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Pantoea ananatis",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,6.41018891184026,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Hydrocarboniphaga effusa",-4.74853319525648,-4.74853319525648,7.82503983307911,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,7.67599463969509,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Mucilaginibacter ginkgonis",-4.74853319525648,-4.74853319525648,6.33739450718002,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,3.32281221148085,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Clostridium sp. MD294",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,3.76475741843893,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Streptomyces sp. T12",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.05556331665506,-4.74853319525648,-4.74853319525648,5.28444674109471,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Streptomyces sp. NBC_01006",-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.95296247732417,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
