"Name","MOR01_LIVER_RAW","MOR02_LIVER_RAW","MOR03_LIVER_RAW","MOR04_LIVER_RAW","MOR13_LIVER_RAW","MOR14_LIVER_RAW","MOR01_TEL_RAW","MOR02_TEL_RAW","MOR03_TEL_RAW","MOR04_TEL_RAW","MOR13_TEL_RAW","MOR14_TEL_RAW","baseMean.Liver_vs_Telencephalon","log2FoldChange.Liver_vs_Telencephalon","lfcSE.Liver_vs_Telencephalon","stat.Liver_vs_Telencephalon","pvalue.Liver_vs_Telencephalon","padj.Liver_vs_Telencephalon","MOR01_LIVER_RAW.norm","MOR02_LIVER_RAW.norm","MOR03_LIVER_RAW.norm","MOR04_LIVER_RAW.norm","MOR13_LIVER_RAW.norm","MOR14_LIVER_RAW.norm","MOR01_TEL_RAW.norm","MOR02_TEL_RAW.norm","MOR03_TEL_RAW.norm","MOR04_TEL_RAW.norm","MOR13_TEL_RAW.norm","MOR14_TEL_RAW.norm","MOR01_LIVER_RAW.normtrans","MOR02_LIVER_RAW.normtrans","MOR03_LIVER_RAW.normtrans","MOR04_LIVER_RAW.normtrans","MOR13_LIVER_RAW.normtrans","MOR14_LIVER_RAW.normtrans","MOR01_TEL_RAW.normtrans","MOR02_TEL_RAW.normtrans","MOR03_TEL_RAW.normtrans","MOR04_TEL_RAW.normtrans","MOR13_TEL_RAW.normtrans","MOR14_TEL_RAW.normtrans"
"Colletotrichum higginsianum",0,0,1011,0,466,245,0,337,0,0,291,202,148.581535813506,1.53113613589569,2.70668056951441,0.565687784935177,0.571606040370763,0.690690632114672,0,0,1219.05278019451,0,137.752256559967,143.068248425501,0,92.973313896425,0,0,137.946727152911,52.1851035327565,-4.74853319525648,-4.74853319525648,10.2516329213201,-4.74853319525648,7.10671103718029,7.16130968068467,-4.74853319525648,6.53989858550037,-4.74853319525648,-4.74853319525648,7.10874521589602,5.707620811916
"Colletotrichum lupini",0,0,53,0,0,0,0,0,0,0,0,0,5.32556852541288,5.8768601523637,3.01443556773209,1.9495723230154,0.0512271148716453,0.0990390887518475,0,0,63.9068223049546,0,0,0,0,0,0,0,0,0,-4.74853319525648,-4.74853319525648,5.99957618499756,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Cryptococcus gattii",0,0,0,0,243,0,0,0,0,0,177,0,12.978160545472,-0.90415980389812,2.98253871862401,-0.303151070010334,0.761774735891348,0.824391202808361,0,0,0,0,71.8321852877079,0,0,0,0,0,83.9057412579563,0,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,6.16805163021999,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,6.39197604469552,-4.74853319525648
"Drechmeria coniospora",0,0,605,0,0,0,0,25,0,0,0,0,61.3666279722973,9.68579185744595,2.99462056002275,3.23439703405108,0.00121899866084546,0.00407895705744443,0,0,729.502405556557,0,0,0,0,6.89713011101075,0,0,0,0,-4.74853319525648,-4.74853319525648,9.51091605269125,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,2.80143447047061,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Fulvia fulva",0,0,0,0,0,0,0,107,0,0,0,0,2.4599764062605,-2.9651137748042,3.07171903588041,-0.96529459243148,0.334397279530971,0.457783161724714,0,0,0,0,0,0,0,29.519716875126,0,0,0,0,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.88723627211298,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Fusarium falciforme",0,0,146,0,0,0,0,0,0,0,0,0,14.6704340511374,25.9512935921445,3.07184528493461,8.44811218827283,2.96050827320508e-17,1.98126322899109e-16,0,0,176.045208613648,0,0,0,0,0,0,0,0,0,-4.74853319525648,-4.74853319525648,7.46041167733979,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Fusarium graminearum",0,0,84,0,0,0,0,0,0,0,0,0,8.44052370065438,6.5399500278574,3.01197383776802,2.17131701007859,0.02990721736487,0.0650481977685923,0,0,101.286284407853,0,0,0,0,0,0,0,0,0,-4.74853319525648,-4.74853319525648,6.66335418139486,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Fusarium keratoplasticum",0,0,627,0,202,0,0,150,0,0,219,109,82.4249803906077,1.66257465752658,2.91968093052146,0.569437105317409,0.569059541871772,0.690690632114672,0,0,756.029765758614,0,59.7123515560371,0,0,41.3827806660645,0,0,103.815578166624,28.1592885399528,-4.74853319525648,-4.74853319525648,9.56244119134618,-4.74853319525648,5.90175338755115,-4.74853319525648,-4.74853319525648,5.37354897777613,-4.74853319525648,-4.74853319525648,6.69891250955878,4.81934326339761
"Fusarium oxysporum",0,0,1367,0,146,0,0,0,0,0,165,0,147.474112380623,12.5798932111126,3.03463533145145,4.14543819507162,3.39164476535931e-05,0.000122947122744275,0,0,1648.31369982779,0,43.1584323127793,0,0,0,0,0,78.2172164269084,0,-4.74853319525648,-4.74853319525648,10.6868402383987,-4.74853319525648,5.43405441638288,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,6.2907856185635,-4.74853319525648
"Fusarium poae",0,0,1196,0,78,0,0,0,0,0,0,157,125.478393129455,6.18897867522661,3.00228287832062,2.06142423151296,0.0392625850819861,0.0794382535379718,0,0,1442.12376371181,0,23.0572446602519,0,0,0,0,0,0,40.5597091813999,-4.74853319525648,-4.74853319525648,10.4940536949368,-4.74853319525648,4.53179227436381,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,5.34461818951829
"Giardia duodenalis",0,0,0,0,108,27,0,0,0,0,37,58,6.68463170411916,-0.742161663991358,2.73988066243777,-0.270873718759353,0.78648815900108,0.824391202808361,0,0,0,0,31.9254156834258,15.7667049285246,0,0,0,0,17.5396182290643,14.9838416084152,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.9999897878269,3.98559320233075,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.13864580986584,3.91247270301904
"Glycocaulis alkaliphilus",0,0,0,0,0,0,0,102,0,0,0,0,2.34502423774366,-2.9198289224077,3.0729289142046,-0.950177828361341,0.342021902438005,0.457783161724714,0,0,0,0,0,0,0,28.1402908529239,0,0,0,0,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.81837218276069,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Gorganvirus isfahan",0,0,0,0,0,0,0,0,0,14,0,0,2.32036537158211,-4.61388329260773,3.03872069870275,-1.51836372937382,0.128922729993435,0.211627877536393,0,0,0,0,0,0,0,0,0,27.8443844589853,0,0,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.80316171794732,-4.74853319525648,-4.74853319525648
"Guillardia theta",0,0,0,0,74,0,0,0,0,0,0,42,2.72709915986902,-0.482617415049578,3.00228207942348,-0.160750190116131,0.872290157433455,0.892814631726007,0,0,0,0,21.8748218571621,0,0,0,0,0,0,10.8503680612662,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.45609381409485,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,3.44951415603914
