Taxon_ID	Scientific_name	Reference_Taxon_ID	Reference_Scientific_name	download_status	override_used	Ensembl_division	Ensembl_release	Assembly	MartDatasets_old	MartDatasets_verified	MartDatasets_final	MartDatasets_status	Genome_URL	GTF_URL	Pep_URL	row_status	notes
7868	Callorhinchus milii	7868	Callorhinchus milii	COMPLETE	NO	EnsemblMain	116	Callorhinchus_milii-6.1.3	cmilii_gene_ensembl	cmilii_gene_ensembl	cmilii_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/callorhinchus_milii/dna/Callorhinchus_milii.Callorhinchus_milii-6.1.3.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/callorhinchus_milii/Callorhinchus_milii.Callorhinchus_milii-6.1.3.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/callorhinchus_milii/pep/Callorhinchus_milii.Callorhinchus_milii-6.1.3.pep.all.fa.gz	COMPLETE	
9838	Camelus dromedarius	9838	Camelus dromedarius	COMPLETE	NO	EnsemblMain	116	CamDro2	cdromedarius_gene_ensembl	cdromedarius_gene_ensembl	cdromedarius_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/camelus_dromedarius/dna/Camelus_dromedarius.CamDro2.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/camelus_dromedarius/Camelus_dromedarius.CamDro2.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/camelus_dromedarius/pep/Camelus_dromedarius.CamDro2.pep.all.fa.gz	COMPLETE	
286419	Canis lupus dingo	286419	Canis lupus dingo	COMPLETE	NO	EnsemblMain	116	ASM325472v1	cldingo_gene_ensembl	cldingo_gene_ensembl	cldingo_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/canis_lupus_dingo/dna/Canis_lupus_dingo.ASM325472v1.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/canis_lupus_dingo/Canis_lupus_dingo.ASM325472v1.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/canis_lupus_dingo/pep/Canis_lupus_dingo.ASM325472v1.pep.all.fa.gz	COMPLETE	
9615	Canis lupus familiaris	9615	Canis lupus familiaris	COMPLETE	NO	EnsemblMain	116	ROS_Cfam_1.0	clfamiliaris_gene_ensembl	clfamiliaris_gene_ensembl	clfamiliaris_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/canis_lupus_familiaris/dna/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/canis_lupus_familiaris/Canis_lupus_familiaris.ROS_Cfam_1.0.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/canis_lupus_familiaris/pep/Canis_lupus_familiaris.ROS_Cfam_1.0.pep.all.fa.gz	COMPLETE	
9925	Capra hircus	9925	Capra hircus	COMPLETE	NO	EnsemblMain	116	ARS1	chircus_gene_ensembl	chircus_gene_ensembl	chircus_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/capra_hircus/dna/Capra_hircus.ARS1.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/capra_hircus/Capra_hircus.ARS1.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/capra_hircus/pep/Capra_hircus.ARS1.pep.all.fa.gz	COMPLETE	
7957	Carassius auratus	7957	Carassius auratus	COMPLETE	NO	EnsemblMain	116	ASM336829v1	cauratus_gene_ensembl	cauratus_gene_ensembl	cauratus_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/carassius_auratus/dna/Carassius_auratus.ASM336829v1.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/carassius_auratus/Carassius_auratus.ASM336829v1.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/carassius_auratus/pep/Carassius_auratus.ASM336829v1.pep.all.fa.gz	COMPLETE	
1868482	Carlito syrichta	1868482	Carlito syrichta	COMPLETE	NO	EnsemblMain	116	Tarsius_syrichta-2.0.1	csyrichta_gene_ensembl	csyrichta_gene_ensembl	csyrichta_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/carlito_syrichta/dna/Carlito_syrichta.Tarsius_syrichta-2.0.1.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/carlito_syrichta/Carlito_syrichta.Tarsius_syrichta-2.0.1.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/carlito_syrichta/pep/Carlito_syrichta.Tarsius_syrichta-2.0.1.pep.all.fa.gz	COMPLETE	
51154	Catagonus wagneri	51154	Catagonus wagneri	COMPLETE	NO	EnsemblMain	116	CatWag_v2_BIUU_UCD	cwagneri_gene_ensembl	cwagneri_gene_ensembl	cwagneri_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/catagonus_wagneri/dna/Catagonus_wagneri.CatWag_v2_BIUU_UCD.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/catagonus_wagneri/Catagonus_wagneri.CatWag_v2_BIUU_UCD.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/catagonus_wagneri/pep/Catagonus_wagneri.CatWag_v2_BIUU_UCD.pep.all.fa.gz	COMPLETE	
10141	Cavia porcellus	10141	Cavia porcellus	COMPLETE	NO	EnsemblMain	116	Cavpor3.0	cporcellus_gene_ensembl	cporcellus_gene_ensembl	cporcellus_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/cavia_porcellus/dna/Cavia_porcellus.Cavpor3.0.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/cavia_porcellus/Cavia_porcellus.Cavpor3.0.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/cavia_porcellus/pep/Cavia_porcellus.Cavpor3.0.pep.all.fa.gz	COMPLETE	
2715852	Cebus capucinus imitator	2715852	Cebus capucinus imitator	COMPLETE	NO	EnsemblMain	116	Cebus_imitator-1.0	ccapucinus_gene_ensembl	cimitator_gene_ensembl	cimitator_gene_ensembl	REPLACED_WITH_VERIFIED	https://ftp.ensembl.org/pub/release-116/fasta/cebus_imitator/dna/Cebus_imitator.Cebus_imitator-1.0.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/cebus_imitator/Cebus_imitator.Cebus_imitator-1.0.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/cebus_imitator/pep/Cebus_imitator.Cebus_imitator-1.0.pep.all.fa.gz	COMPLETE	MartDatasets changed: ccapucinus_gene_ensembl -> cimitator_gene_ensembl
